timestamp,device_id,topic,value
01-09-2016 14:30,C8:93:46:41:DA:37,GRID_VOLT,2348
01-09-2016 14:30,C8:93:46:41:DA:37,OUTPUT_VOLT,1995
01-09-2016 14:30,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:30,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:30,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 14:32,C8:93:46:41:DA:37,BATT_VOLT,1363
01-09-2016 14:32,C8:93:46:41:DA:37,GRID_VOLT,2355
01-09-2016 14:32,C8:93:46:41:DA:37,OUTPUT_VOLT,2019
01-09-2016 14:32,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:32,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:32,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 14:35,C8:93:46:41:DA:37,BATT_VOLT,1363
01-09-2016 14:35,C8:93:46:41:DA:37,GRID_VOLT,2382
01-09-2016 14:35,C8:93:46:41:DA:37,OUTPUT_VOLT,2026
01-09-2016 14:35,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:35,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:35,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 14:37,C8:93:46:41:DA:37,BATT_VOLT,1364
01-09-2016 14:37,C8:93:46:41:DA:37,GRID_VOLT,2421
01-09-2016 14:37,C8:93:46:41:DA:37,OUTPUT_VOLT,2034
01-09-2016 14:37,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:37,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:37,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 14:39,C8:93:46:41:DA:37,BATT_VOLT,1362
01-09-2016 14:39,C8:93:46:41:DA:37,GRID_VOLT,2191
01-09-2016 14:39,C8:93:46:41:DA:37,OUTPUT_VOLT,2340
01-09-2016 14:39,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:39,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:39,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 14:41,C8:93:46:41:DA:37,BATT_VOLT,1362
01-09-2016 14:41,C8:93:46:41:DA:37,GRID_VOLT,2198
01-09-2016 14:41,C8:93:46:41:DA:37,OUTPUT_VOLT,2332
01-09-2016 14:41,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:41,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:41,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 14:43,C8:93:46:41:DA:37,BATT_VOLT,1362
01-09-2016 14:43,C8:93:46:41:DA:37,GRID_VOLT,2190
01-09-2016 14:43,C8:93:46:41:DA:37,OUTPUT_VOLT,2341
01-09-2016 14:43,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:43,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:44,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 14:46,C8:93:46:41:DA:37,BATT_VOLT,1363
01-09-2016 14:46,C8:93:46:41:DA:37,GRID_VOLT,2417
01-09-2016 14:46,C8:93:46:41:DA:37,OUTPUT_VOLT,2357
01-09-2016 14:46,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:46,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:46,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 14:48,C8:93:46:41:DA:37,BATT_VOLT,1363
01-09-2016 14:48,C8:93:46:41:DA:37,GRID_VOLT,2428
01-09-2016 14:48,C8:93:46:41:DA:37,OUTPUT_VOLT,2355
01-09-2016 14:48,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:48,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:48,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 14:50,C8:93:46:41:DA:37,BATT_VOLT,1364
01-09-2016 14:50,C8:93:46:41:DA:37,GRID_VOLT,2350
01-09-2016 14:50,C8:93:46:41:DA:37,OUTPUT_VOLT,1993
01-09-2016 14:50,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:50,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:50,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 14:52,C8:93:46:41:DA:37,BATT_VOLT,1362
01-09-2016 14:52,C8:93:46:41:DA:37,GRID_VOLT,2188
01-09-2016 14:52,C8:93:46:41:DA:37,OUTPUT_VOLT,2380
01-09-2016 14:52,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:52,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:52,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 14:54,C8:93:46:41:DA:37,BATT_VOLT,1362
01-09-2016 14:54,C8:93:46:41:DA:37,GRID_VOLT,2209
01-09-2016 14:54,C8:93:46:41:DA:37,OUTPUT_VOLT,2382
01-09-2016 14:54,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:54,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:55,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 14:57,C8:93:46:41:DA:37,BATT_VOLT,1363
01-09-2016 14:57,C8:93:46:41:DA:37,GRID_VOLT,2198
01-09-2016 14:57,C8:93:46:41:DA:37,OUTPUT_VOLT,2325
01-09-2016 14:57,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:57,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:57,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 14:59,C8:93:46:41:DA:37,BATT_VOLT,1363
01-09-2016 14:59,C8:93:46:41:DA:37,GRID_VOLT,2210
01-09-2016 14:59,C8:93:46:41:DA:37,OUTPUT_VOLT,2381
01-09-2016 14:59,C8:93:46:41:DA:37,CHRG_CURRENT,35
01-09-2016 14:59,C8:93:46:41:DA:37,DISCHRG_CURRENT,0
01-09-2016 14:59,C8:93:46:41:DA:37,SWITCH_STATE,0
01-09-2016 15:01,C8:93:46:41:DA:37,BATT_VOLT,1363
01-09-2016 15:01,C8:93:46:41:DA:37,GRID_VOLT,2209
01-09-2016 15:01,C8:93:46:41:DA:37,OUTPUT_VOLT,2386
01-09-2016 15:01,C8:93:46:41:DA:37,CHRG_CURRENT,35
